fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-03-31,USD,475374000000,162052000000,23264000000,23264000000,None,51000000000,313322000000,None,None,None,None,32173000000,None,51029000000,72064000000,15724000000,None,130107000000,91654000000,8497000000,None,None,1000000000,38453000000,11678000000,10886000000,1000000000,None,23564000000,67476000000,6116000000,345267000000,None,262628000000,86725000000,12291000000
2024-12-31,USD,450256000000,163711000000,23466000000,23466000000,None,52340000000,286545000000,None,None,None,None,31885000000,None,37982000000,72191000000,15714000000,None,125172000000,89122000000,7987000000,None,None,2887000000,36050000000,14578000000,10883000000,None,None,25461000000,64430000000,4694000000,325084000000,None,245084000000,84800000000,12348000000
2024-09-30,USD,430266000000,157541000000,19959000000,19959000000,None,49104000000,272725000000,None,None,None,None,31935000000,None,36177000000,73271000000,15207000000,None,116147000000,80803000000,7049000000,None,None,2971000000,35344000000,16042000000,10880000000,None,None,26922000000,63248000000,1453000000,314119000000,None,235317000000,82030000000,12419000000
2024-06-30,USD,414770000000,161995000000,27225000000,27225000000,None,47087000000,252775000000,None,None,None,None,29185000000,None,34172000000,73500000000,14183000000,None,114017000000,77913000000,6092000000,None,None,2855000000,36104000000,15925000000,11876000000,None,None,27801000000,61418000000,1753000000,300753000000,None,226033000000,79732000000,12495000000
2024-03-31,USD,407350000000,165471000000,24493000000,24493000000,None,44552000000,241879000000,None,None,None,None,29183000000,None,33994000000,83597000000,12829000000,None,114506000000,76997000000,6198000000,None,None,2874000000,37509000000,16186000000,11873000000,None,None,28059000000,59026000000,1683000000,292844000000,None,219770000000,77913000000,12527000000
2023-12-31,USD,402392000000,171530000000,24048000000,24048000000,None,47964000000,230862000000,None,None,None,None,29198000000,None,31008000000,86868000000,12650000000,None,119013000000,81814000000,7493000000,None,None,2791000000,37199000000,16634000000,11870000000,None,None,28504000000,64645000000,1616000000,283379000000,None,211247000000,76534000000,12602000000
2023-09-30,USD,396711000000,176310000000,30702000000,30702000000,2957000000,41020000000,220401000000,139904000000,None,1833000000,1833000000,29146000000,None,30907000000,89233000000,12398000000,None,123509000000,86295000000,5803000000,None,None,2715000000,37214000000,12550000000,13781000000,None,None,26331000000,65436000000,1433000000,273202000000,None,205647000000,74591000000,12696000000
2023-06-30,USD,383044000000,168788000000,25929000000,25929000000,2231000000,38804000000,214256000000,135677000000,None,1966000000,1966000000,29210000000,None,31224000000,92403000000,9421000000,None,115903000000,77709000000,5313000000,None,None,2663000000,38194000000,12746000000,13705000000,None,None,26451000000,68550000000,1765000000,267141000000,None,200884000000,72248000000,12609000000
2023-03-31,USD,369491000000,161985000000,25924000000,25924000000,2315000000,36036000000,207506000000,132007000000,None,1968000000,1968000000,28994000000,None,31213000000,89178000000,8532000000,None,108597000000,68854000000,4184000000,None,None,2625000000,39743000000,12799000000,13697000000,None,None,29121000000,53113000000,2373000000,260894000000,None,196625000000,70269000000,12823000000
2022-12-31,USD,365264000000,164795000000,21879000000,21879000000,2670000000,40258000000,200469000000,112668000000,None,2084000000,2084000000,28960000000,None,30492000000,91883000000,8105000000,None,109120000000,69300000000,5128000000,None,None,2477000000,39820000000,16822000000,12857000000,None,None,29679000000,48529000000,24605000000,256144000000,None,195563000000,68184000000,12947000000
2022-09-30,USD,358255000000,166109000000,21984000000,21984000000,3156000000,36176000000,192146000000,122040000000,None,2192000000,2192000000,28834000000,None,30419000000,94275000000,10518000000,None,104629000000,65979000000,6303000000,None,None,2285000000,38650000000,11984000000,14653000000,None,None,28922000000,52781000000,2371000000,253626000000,None,196220000000,66258000000,13097000000
2022-06-30,USD,355185000000,172371000000,17936000000,17936000000,1980000000,37073000000,182814000000,119621000000,None,1377000000,1377000000,23949000000,None,30665000000,107061000000,8321000000,None,99766000000,61354000000,4409000000,None,None,2297000000,38412000000,15878000000,12850000000,None,None,28728000000,49420000000,22754000000,255419000000,None,196845000000,64402000000,13238994042
2022-03-31,USD,357096000000,177853000000,20886000000,20886000000,1369000000,35622000000,179243000000,117210000000,None,1313000000,1313000000,23010000000,None,30544000000,113084000000,6892000000,None,103092000000,61948000000,3436000000,None,None,2267000000,41144000000,11363000000,14791000000,None,None,28421000000,48703000000,23510000000,254004000000,None,195221000000,62832000000,13351013992
2021-12-31,USD,359268000000,188143000000,20945000000,20945000000,1170000000,39304000000,171125000000,97599000000,None,1417000000,1417000000,22956000000,None,29549000000,118704000000,8020000000,None,107633000000,64254000000,6037000000,None,None,2189000000,43379000000,11389000000,14817000000,None,None,26206000000,51932000000,23305000000,251635000000,None,191484000000,61774000000,13449853947
2021-09-30,USD,347403000000,184110000000,23719000000,23719000000,1278000000,34800000000,163293000000,107549000000,None,1549000000,1549000000,22623000000,None,26101000000,118284000000,6029000000,None,102836000000,61782000000,4616000000,None,None,2101000000,41054000000,11471000000,14288000000,None,None,25759000000,47927000000,2250000000,244567000000,None,183782000000,61193000000,13530373911
2021-06-30,USD,335387000000,175697000000,23630000000,23630000000,907000000,32851000000,159690000000,104675000000,None,1626000000,1626000000,22406000000,None,25532000000,112233000000,6076000000,None,97822000000,55741000000,4708000000,None,None,2037000000,42081000000,11619000000,14328000000,None,None,25947000000,44470000000,2270000000,237565000000,None,176939000000,60436000000,13592233883
2021-03-31,USD,327095000000,172137000000,26622000000,26622000000,888000000,28499000000,154958000000,100204000000,None,1823000000,1823000000,22341000000,None,25294000000,108482000000,7646000000,None,97082000000,55453000000,4801000000,None,None,1888000000,41629000000,13270000000,13887000000,None,None,25269000000,44181000000,23336000000,230013000000,None,170580000000,59436000000,13641413861
2020-12-31,USD,319616000000,174296000000,26465000000,26465000000,728000000,31384000000,145320000000,84749000000,None,1445000000,1445000000,21175000000,None,20703000000,110229000000,5490000000,None,97072000000,56834000000,5589000000,None,None,1694000000,40238000000,11146000000,13932000000,None,None,25078000000,45523000000,22745000000,222544000000,None,163401000000,58510000000,13659373853
2020-09-30,USD,299243000000,164369000000,20129000000,20129000000,835000000,25513000000,134874000000,93582000000,None,1520000000,1520000000,20870000000,None,14656000000,112467000000,5425000000,None,86323000000,48200000000,4391000000,None,None,1535000000,38123000000,12519000000,13902000000,None,None,24886000000,38873000000,22248000000,212920000000,None,155567000000,57307000000,13717014513
2020-06-30,USD,278492000000,149069000000,17742000000,17742000000,815000000,21595000000,129423000000,90315000000,None,1697000000,1697000000,20824000000,None,12961000000,103338000000,5579000000,None,71170000000,43658000000,4064000000,None,None,1416000000,27512000000,13180000000,2963000000,None,None,14727000000,35142000000,21697000000,207322000000,None,151681000000,55937000000,13740474503
2020-03-31,USD,273403000000,147018000000,19644000000,19644000000,889000000,23735000000,126385000000,87966000000,None,1840000000,1840000000,20734000000,None,12367000000,97585000000,5165000000,None,69744000000,40189000000,4099000000,None,None,1312000000,29555000000,12844000000,3960000000,None,None,15492000000,31927000000,22460000000,203659000000,None,151068000000,53688000000,13845334461
2019-12-31,USD,275909000000,152578000000,18498000000,18498000000,999000000,27492000000,123331000000,84587000000,None,1979000000,1979000000,20624000000,None,13078000000,101177000000,4412000000,None,74467000000,45221000000,5561000000,None,None,1199000000,29246000000,12009000000,3958000000,None,None,14768000000,36279000000,22991000000,201442000000,None,152122000000,50552000000,13903874438
2019-09-30,USD,263044000000,148358000000,16032000000,16032000000,1401000000,21081000000,114686000000,69252000000,None,1747000000,1747000000,18069000000,None,12488000000,105145000000,4699000000,None,68075000000,39224000000,4142000000,None,None,24212000000,28851000000,9792000000,3956000000,None,None,28294000000,9191000000,23022000000,194969000000,None,147125000000,49040000000,13963974414
2019-06-30,USD,257101000000,147437000000,16587000000,16587000000,964000000,21317000000,109664000000,64891000000,None,1902000000,1902000000,18000000000,None,12112000000,104469000000,4100000000,None,64909000000,37000000000,3925000000,None,None,21837000000,27909000000,9208000000,3954000000,1064000000,None,25911000000,9521000000,21943000000,192192000000,None,145346000000,47937000000,13999074400
2019-03-31,USD,245349000000,138207000000,19148000000,19148000000,1053000000,19260000000,107142000000,60528000000,None,2063000000,2063000000,17943000000,None,14474000000,94340000000,4406000000,None,61877000000,34910000000,3710000000,None,None,20145000000,26967000000,8320000000,3952000000,1142000000,None,24211000000,9388000000,21619000000,183472000000,None,138720000000,46532000000,14017574392
2018-12-31,USD,232792000000,135676000000,16701000000,16701000000,1107000000,21193000000,97116000000,59719000000,None,2220000000,2220000000,17888000000,None,13859000000,92439000000,4236000000,None,55164000000,34620000000,4378000000,None,None,20704000000,20544000000,None,3950000000,None,None,24716000000,7754000000,15268000000,177628000000,None,134885000000,45049000000,14017974392
2018-09-30,USD,221538000000,129702000000,13443000000,13443000000,1212000000,18067000000,91836000000,55300000000,None,2448000000,2448000000,17895000000,None,12673000000,92973000000,4007000000,None,51698000000,31301000000,3789000000,None,None,17767000000,20397000000,None,3948000000,None,None,21753000000,7993000000,15093000000,169840000000,0,128405000000,43111000000,14077174369
2018-06-30,USD,211610000000,124157000000,14148000000,14148000000,698000000,17244000000,87453000000,51672000000,None,2662000000,2662000000,17895000000,None,11487000000,88106000000,3961000000,None,49610000000,29903000000,3369000000,None,None,16906000000,19707000000,None,3947000000,3981000000,None,20887000000,7914000000,15247000000,162000000000,0,121282000000,42243000000,14064934374
2018-03-31,USD,206935000000,123761000000,12658000000,12658000000,636000000,16814000000,83174000000,48845000000,None,2809000000,2809000000,17862000000,None,10976000000,90227000000,3426000000,None,46110000000,25394000000,3526000000,None,None,1329000000,20716000000,None,3944000000,5302000000,None,5302000000,17600000000,16034000000,160825000000,0,120008000000,41487000000,14102674358
